id,agency,complaint,descriptor,street,borough
40713963,Department of Health and Mental Hygiene,Rodent,Rat Sighting,LAFAYETTE AVENUE,BROOKLYN
40713663,Department of Health and Mental Hygiene,Rodent,Rat Sighting,WEST   69 STREET,MANHATTAN
40711970,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,PELHAM PARKWAY SOUTH,BRONX
40711929,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,109 STREET,QUEENS
40711368,Department of Health and Mental Hygiene,Rodent,Rat Sighting,56 AVENUE,QUEENS
40711307,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,ELIOT AVENUE,QUEENS
40711284,Department of Health and Mental Hygiene,Rodent,Rat Sighting,WEST   80 STREET,MANHATTAN
40711283,Department of Health and Mental Hygiene,Rodent,Rat Sighting,UTOPIA PARKWAY,QUEENS
40711282,Department of Health and Mental Hygiene,Rodent,Rat Sighting,BROADWAY,MANHATTAN
40710520,Department of Health and Mental Hygiene,Rodent,Rat Sighting,WALLACE AVENUE,BRONX
40709593,Department of Health and Mental Hygiene,Rodent,Rat Sighting,MENAHAN STREET,BROOKLYN
40709585,Department of Health and Mental Hygiene,Rodent,Rat Sighting,PELHAM PARKWAY SOUTH,BRONX
40709471,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,BROADWAY,QUEENS
40708990,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,66 ROAD,QUEENS
40708816,Department of Health and Mental Hygiene,Rodent,Rat Sighting,56 AVENUE,QUEENS
40707696,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,FREDERICK DOUGLASS BOULEVARD,MANHATTAN
40706118,Department of Health and Mental Hygiene,Rodent,Rat Sighting,EAST   15 STREET,MANHATTAN
40707686,Department of Health and Mental Hygiene,Standing Water,Puddle in Ground,8 AVENUE,BROOKLYN
40708751,Department of Health and Mental Hygiene,Rodent,Rat Sighting,LABAU AVENUE,STATEN ISLAND
40705579,Department of Health and Mental Hygiene,Food Poisoning,3 or More,159 STREET,QUEENS
40713071,Department of Health and Mental Hygiene,Rodent,Rat Sighting,EAST   77 STREET,MANHATTAN
40713070,Department of Health and Mental Hygiene,Rodent,Rat Sighting,WEST   82 STREET,MANHATTAN
40700288,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,UNION AVENUE,BRONX
40712452,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,109 STREET,QUEENS
40713964,Department of Health and Mental Hygiene,Rodent,Rat Sighting,,STATEN ISLAND
40713266,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,COMMONWEALTH AVENUE,BRONX
40706298,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,EAST  162 STREET,BRONX
40711287,Department of Health and Mental Hygiene,Rodent,Rat Sighting,,STATEN ISLAND
40707009,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,CEDAR STREET,BROOKLYN
40705215,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,CEDAR STREET,BROOKLYN
40709809,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,FORT GREENE PLACE,BROOKLYN
40708629,Department of Health and Mental Hygiene,Rodent,Rat Sighting,COLUMBUS AVENUE,MANHATTAN
40706127,Department of Health and Mental Hygiene,Rodent,Rat Sighting,COLUMBUS AVENUE,MANHATTAN
40712177,Department of Health and Mental Hygiene,Rodent,Rat Sighting,67 ROAD,QUEENS
40714267,Department of Health and Mental Hygiene,Rodent,Rat Sighting,LAFAYETTE AVENUE,BROOKLYN
40710519,Department of Health and Mental Hygiene,Rodent,Rat Sighting,EMMONS AVENUE,BROOKLYN
40712250,Department of Health and Mental Hygiene,Rodent,Rat Sighting,EAST 6 STREET,MANHATTAN
40708631,Department of Health and Mental Hygiene,Rodent,Rat Sighting,STATE STREET,BROOKLYN
40714902,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,92 STREET,QUEENS
40714775,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,7 AVENUE,BROOKLYN
40714493,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,BURNSIDE AVENUE,STATEN ISLAND
40714264,Department of Health and Mental Hygiene,Rodent,Rat Sighting,CYPRESS AVENUE,BRONX
40713994,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,86 STREET,QUEENS
40713664,Department of Health and Mental Hygiene,Rodent,Rat Sighting,BRUCKNER BOULEVARD,BRONX
40713428,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,OCEAN AVE,BROOKLYN
40713331,Department of Health and Mental Hygiene,Rodent,Rat Sighting,YORK AVENUE,MANHATTAN
40713330,Department of Health and Mental Hygiene,Rodent,Rat Sighting,UNION AVENUE,BROOKLYN
40713327,Department of Health and Mental Hygiene,Rodent,Rat Sighting,EAST 9 STREET,BROOKLYN
40713265,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,FENWAY CIRCLE,STATEN ISLAND
40713069,Department of Health and Mental Hygiene,Rodent,Rat Sighting,NORTHERN BOULEVARD,QUEENS
40712977,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,SHAKESPEARE AVENUE,BRONX
40712776,Department of Health and Mental Hygiene,Rodent,Rat Sighting,CLARKSON AVENUE,BROOKLYN
40712532,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,EAST 241 STREET,BRONX
40712531,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,EAST 53 STREET,BROOKLYN
40712356,Department of Health and Mental Hygiene,Rodent,Rat Sighting,99 STREET,QUEENS
40712249,Department of Health and Mental Hygiene,Rodent,Rat Sighting,,BRONX
40712174,Department of Health and Mental Hygiene,Rodent,Rat Sighting,EAST 5 STREET,BROOKLYN
40712173,Department of Health and Mental Hygiene,Rodent,Rat Sighting,56 STREET,BROOKLYN
40711867,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,PARK AVENUE,BRONX
40711707,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,MORRIS AVENUE,BRONX
